Postman,Postman is an API platform for building and using APIs. Postman simplifies each step of the API lifecycle and streamlines collaboration so you can create better APIs—faster.,4
Chrome Dev Tools,Chrome DevTools is a set of web developer tools built directly into the Google Chrome browser.,10
Space,Space is a complete software development platform,11
Fleet,"Built from scratch, based on 20 years of experience developing IDEs. JetBrains Fleet uses the IntelliJ code-processing engine, with a distributed IDE architecture and a reimagined UI.","5, 11"
AppCode,Smart IDE for iOS/macOS development,"11, 6"
Clion,A cross-platform IDE for C and C++,"11, 6"
DataGrip,"Many databases, one tool","11, 6"
DataSpell,"The IDE for Professional
Data Scientists","11, 6"
GoLand,"A Go IDE with extended support for JavaScript, TypeScript, and databases","11, 6"
IntelliJ IDEA,"Every aspect of IntelliJ IDEA has been designed to maximize developer productivity. Together, intelligent coding assistance and ergonomic design make development not only productive but also enjoyable.","11, 6"
PhpStorm,The Lightning-Smart PHP IDE,"11, 6"
PyCharm,"The Python IDE
for Professional Developers","11, 6"
Rider,"Fast & powerful cross-platform .NET IDE","11, 6"
RubyMine,"Produce high-quality code more efficiently, thanks to first-class support for Ruby and Rails, JavaScript and CoffeeScript, ERB and HAML, CSS, Sass and Less, and more.","11, 6"
Android Studio,"The fastest developer tools for building market-leading apps and accelerating performance. With an intelligent code editor, flexible build system, realtime profilers and emulators. Build rich experiences. Code faster than ever. Building without limits. Eliminate tiresome tasks.",6
Notepad++,"Notepad++ is a free (as in “free speech” and also as in “free beer”) source code editor and Notepad replacement that supports several languages. Running in the MS Windows environment, its use is governed by GNU General Public License.",5
Visual Studio Code,"Visual Studio Code is a lightweight but powerful source code editor which runs on your desktop and is available for Windows, macOS and Linux.",5
Google Sheet,"Collaborative, smart, secure spreadsheets for fast-moving organizations","7, 12"
Google Doc,Word processing for teams,"7, 12"
Microsoft Word,"Elevate your writing, create beautiful documents, and collaborate with others—anywhere, anytime.",8
Microsoft Excel,"Microsoft Excel is a spreadsheet developed by Microsoft for Windows, macOS, Android and iOS. It features calculation or computation capabilities, graphing tools, pivot tables, and a macro programming language called Visual Basic for Applications (VBA).",8
Windows,"Windows is a graphical operating system developed by Microsoft. It allows users to view and store files, run the software, play games, watch videos, and provides a way to connect to the internet. It was released for both home computing and professional works.",13
macOS,macOS is the operating system that powers every Mac. It lets you do things you simply can’t do with other computers. That’s because it’s designed specifically for the hardware it runs on — and vice versa. macOS comes with an entire suite of beautifully designed apps,13
Insomnia,Deliver high quality APIs through standards and collaboration with the Insomnia API design platform.,4